question,answer
 ما حكمالصلاةفيالروضة الشريفةفيأوقات الكراهةالتي نص عليها الشرع؟ ,حكم الصلاة في الروضة الشريفة في أوقات الكراهة
 ما الذي يحصل به التحلل الأصغر؟ فهناك رجلٌ عزم علىالحجهذا العام، ويعلم أنه لا يباح له لبس الثياب إلا بعدالتحلل الأول أو الأصغر، فبأيِّ شيءٍ يحصل هذا التحلل؟ ,ما يحصل به التحلل الأصغر في الحج
" ما مدى وقوع ""الطلاق الصوري"" الذي كتب في الأوراق الرسمية أو وقَّع عليه الزوجان دون التلفظ بصيغةالإبراءفي حالة الطلاق على الإبراء؟ حيث عُرِضت حالات طلاق اضطر أطرافها إلى استصدار وثيقة طلاق رسمية دون رغبة من الزوجين أو الزوج في إيقاعه حقيقة، وإنما بقصد التحايل على اللوائح لجلب منفعة، أو المحافظة على حقٍّ، أو دفع مضرة شخصية، أو نحو ذلك... أفيدونا أفادكم الله. ",مدى وقوع الطلاق الصوري الذي كتب في الأوراق الرسمية أو وقع عليه الزوجان دون التلفظ بصيغة الإبراء في حالة الإبراء
 ما حكم شراءالأضحيةبالتقسيط؟ فإنَّ رجلًا يرغب فيالأضحية، ولا يملك كامل ثمنها نقدًا، فما حكم شرائها بالتقسيط مِن أحد التجار أو عن طريق الصك؟ وهل يتوقف تَمَلُّك المضحي للأضحية على سداد آخِر قسطٍ مِن ثَمنها، بحيث يتنافى هذا الشراء بالتقسيط مع اشتراط مِلْكِ المضحي للأضحية قبل الذبح؟ ,حكم شراء الأضحية بالتقسيط
 ما حكم الحلق وقص الأظافر والجماع للمتمتع بينالعمرة والحج؟ فهناك رجلٌ أحرَم بالحج متمتعًا، ثم أدَّى العُمرةَ وتَحَلَّلَ منها، فهل يجوز له الأخذُ مِن شَعره وأظفاره، وكذا معاشرةُ زوجته إلى أنْ يُحرِم بالحج؟ ,حكم الحلق وقص الأظافر والجماع للمتمتع بين العمرة والحج
 ما حكم الحج والعمرة لمن يقوم بمساعدة غيره في أداء المناسك؟ فوالدتي سيدة كبيرة ولا تستطيع الحركة بمفردها، ولذلك سأكون معها بالكرسي المتحرك فيالطواف والسعي، هل مناسك العمرة والحج بالنسبة لي تكون صحيحة أو أنه لا بد أن أساعد والدتي أولًا حتى تنتهي هي من طوافها وسعيها ثم أؤدي المناسك الخاصة بي؟ ,مدى إجزاء الحج والعمرة لمن يقوم بمساعدة غيره في أداء المناسك
 ما حكم الطواف إذا خرج الدم من المحرم وأصاب ملابس الإحرام حال الطواف؟ حيث أُصِبْتُ في قَدَمِي بـجُرْحٍ، وأثناءالطوافخَرَج دم قليل مِن هذا الجُرْح وأصاب ثيابي، فهل طوافي صحيحٌ أم لا؟ ,حكم الطواف إذا خرج الدم من المحرم وأصاب ملابس الإحرام حال الطواف
 ما المقصود من عبارة (حاضري المسجد الحرام)؟ حيث أعيش في مكة المكرمة، وسافرتُ إلى زيارة سيدنا رسول الله صلى الله عليه وآله وسلم في بداية شهر ذي القعدة، ثم رجعتُ فأحرمتُ من آبار عليٍّ بالعمرة، علمًا بأني قد نويتُ أن أحج هذا العام، فهل ينطبق عليَّ وصف حاضري المسجد الحرام الوارد في قوله تعالى: ﴿ذَلِكَ لِمَن لَمْ يَكُن أَهْلُهُ حَاضِرِي المَسْجِدِ الحَرَامِ﴾؟ ,بيان المقصود من عبارة: (حاضري المسجد الحرام)
 ما حكم أخذالمتمتعمن شعره وأظافره في ذي الحجة قبل الإحرام؟ فرجلٌ أحرم بالحج متمتعًا في الرابع مِن ذي الحجة، وظلَّ يأخذ مِن شَعره وأظفاره مِن أول الشهر قبل الإحرام، فهل ما فَعَلَه جائزٌ شرعًا أو يدخل في النهي الوارد عن الأخذ مِن الشعر والأظفار في عشر ذي الحجة حتى يذبح هدي التمتع؟ ,حكم أخذ المتمتع من شعره وأظافره في أول ذي الحجة وقبل الإحرام
 ما مدى ترتب أثرالطلاقالشفوي حال إقرار الطرفين به من غير تلفظ؟ فقد اتفقت أنا وزوجتي على إنهاء الزوجية بيننا بالتراضي، ولم أتلفظ بلفظ الطلاق، ثم كتبتُ إقرارًا في ورقةٍ عُرفية يفيد أني قد طلقت زوجتي، وأنها قد استلمت حقوقها، فهل هذا الإقرار المكتوب يقع به الطلاق دون أن أنطق به؟ ,مدى ترتب أثر الطلاق الشفوي حال إقرار الطرفين به من غير تلفظ
 هل ثبت فيصيام أيام العشر من ذي الحجةشيء مخصوص؟ ثم إن لم يثبت شيء فهل يعني هذا عدم مشروعية صيامها؟ ,مدى ورود شيء مخصوص في صيام أيام العشر من ذي الحجة ومشروعية ذلك
 ما حكم ختم المحرم بالحجالتلبيةبالصلاة على النبي عليه الصلاة والسلام؟ حيث كنت في حجِّ العام الماضي، فوجدتُّ وفدًا من حُجَّاج إحدى الدول يختمون تلبيتهم بالصلاة على النبي صلى الله عليه وآله وسلم؛ فما حكم صنيعهم هذا؟ ,حكم الصلاة على النبي صلى الله عليه وآله وسلم بعد التلبية
 ما حكم اشتراط المقرض على المقترض زيادة عند التأخر عن سداد الدين؟ فقد أقرضتُ صديقي مبلغًا من المال على أن يسدده لي بعد سنة من تاريخ الإقراض، ونظرا لأنني أدخر هذا المال لتجهيز بناتي في الزواج اتفقت معه على شرط مفاده أنه إذا تأخر في السداد سيدفع لي المبلغ مضافًا إليه نسبة 15% من قيمة القرض، ووافق على ذلك، وأخبرنا البعض أن هذا حرام، فهل هذا حرام فعلًا؟ ,"حكم اشتراط المقرض على المقترض زيادة عند التأخر عن سداد الدين ""الشرط الجزائي"""
 ما حكم إعادة تأجيرالعين المستأجرةبعلم صاحبها؟ فهناك رجلٌ يَعمل في تأجير الدراجاتِ الناريةِ في المصايف في فصل الصيف، لكن ليس لديه مالٌ ليشتري به تلك الدراجات التي يؤجِّرها، فيذهب إلى أحد الأشخاص الذين يملِكونها ويؤجِّرونها للغير، ويَعمل عقدَ إيجارٍ لعددٍ كبيرٍ منها لمدةٍ معينةٍ، ويستلمُها، ومِن ثَمَّ يؤجِّرها بثمنٍ أكثرَ مما استأجرها به، وفرق ثمنالإجارةالأُولى والثانية هو رِبحُه في هذا العمل، والمالِك الذي يستأجِرُ منه يَعلم أنه يفعلُ ذلك، فهل هذا جائز شرعًا؟ ,حكم إعادة تأجير العين المستأجرة بعلم صاحبها
 ما حكمالطواف على الكرسي المتحرك؟ ,حكم الطواف على الكرسي المتحرك
 هل يحقللكافلالاعتراضُ على زواج مكفولته التي تزوجت بغير ولي لكون عقد الزواج قد أُبرِم دون موافقته ولا يناسب مهرُهَا مكانَتَهَا الاجتماعية والثقافية؟ ,حق الكافل في الاعتراض على زواج مكفولته التي تزوجت بغير ولي لأن الزواج تم دون موافقته
 هل الأضحية أفضل أو التصدق بثمنها؟ ,بيان الأفضلية بين الأضحية أو التصدق بثمنها
 ما حكمالشراء الوهمي لمنتجات بعض التجارلزيادة رواج بضاعتهم وأخذ عمولة على ذلك؟ حيث أعمل على موقع على الإنترنت، لمساعدة التجار على إظهار السلعة بسرعة على مواقع بيع السلع، حيث نقوم بشراء وهمي لمنتجاتهم، حيث إنه كلما زادت مبيعاتهم تظهر أسرع؛ لكي يراها الناس بسرعة، ونأخذعمولةعلى ذلك، فما الحكم؟ ,حكم الشراء الوهمي لمنتجات بعض التجار لزيادة رواج بضاعتهم وأخذ عمولة على ذلك
 ما حكم تعييننية الطواففي الحج؟ فرجلٌ يقول: والدتي امرأةٌ مُسِنَّةٌ، وقد أكرمها اللهُ تعالى بالحج هذا العام، وبعد عودتها سألتُها عن المناسك وكيف أدت الحج؟ فقالت: إنها كانت تفعل مثل ما يفعل غيرها، متبعة إرشادات مسؤول فَوْج الحجيج معهم، وطافت للقدوم والإفاضة والوداع مِن غير تعيين النية في كلٍّ منها. فهل يقبل منها ذلك أو كانت تحتاج إلى تعيين النية لكلِّ طواف قبل أدائه؟ ,حكم تعيين نية الطواف في الحج
 هل يجوزإجهاض الحمل العنقودي؟ وإذا جاز ذلك، فما أثره على عدة المرأة؟ ,حكم إجهاض الحمل العنقودي وأثره على عدة المرأة
 ما حكمخلع لباس الإحرام وتغييره أثناء الإحرام؟ فقد سمعت من بعض الناس أن الحاج لا يُبدِّل ملابسه أبدًا حتى يوم العيد، وذلك بعد الرمي والطواف والحلق والتقصير. ,حكم خلع لباس الإحرام وتغييره
 ما حكم استرداد العارية قبل انتهاء المدة المتفق عليها؟ فرجلٌ استعار سيارةً مِن جاره لقضاء بعض المصالح بها لمدة ثلاثة أيام، إلا أن صاحبالسيارةطلب استردادها بعد يومٍ مِن أخذها لسفر ضروري طرأ له في عمله، ولا يملك غير هذه السيارة للسفر، لكنِ المستعيرُ امتنع عن رَدِّها، وتمسك باتفاقه مع صاحب السيارة، وأنه قد استأذنه فيها لمدة ثلاثة أيام، والسؤال: هل يجوز شرعًا ما فعله المستعير مِن الامتناع عن تسليم السيارة إلا بمضي المدة المتفق عليها؟ علمًا بأن رَدَّها لا يَضُره في شيء، فهي موجودة عند البيت ولا يستعملُها حين طُلِبَت منه، وإنما المتضرر هو صاحب السيارة؛ لأنه لو استأجر سيارة للسفر سوف يتكلف كثيرًا من المال، ولو امتنع عن السفر تضرر في عمله. ,حكم استرداد العارية قبل انتهاء المدة المتفق عليها
 ما حكم تغيير نية النسك بعد دخول مكة؟ فهناك رجلٌ نَوَى العُمرة متمتِّعًا بها إلى الحج، وبعد دخوله مكةَ مَرِضَ، فلم يَتمكن مِن أداء العُمرة حتى دَخَل يومُ التَّرْوِيَة، ولا يُريد أن يُجهِد نَفْسه بالعُمرة في هذا اليوم قبل الوقوف بعرفة، فهل يجوز له شرعًا أن يحوِّل نِيَّة الإحرام مِن التمتُّع إلى القِرَان؟ علمًا بأنه لا يزال مُحرِمًا، ولَم يطُف بالبيت الحرام. ,حكم تغيير نية النسك بعد دخول مكة
 ما حكم أخذ ما تركهالمستأجربعد انتهاءعقد الإجارةومغادرة المكان؟ فهناك إحدى الشركات استأجرَت قطعةَ أرضٍ كمخزنٍ للمعدات والمؤن، وبعد انتهاءمدة الإجارةانصرفت الشركة وغادرت المكان، لكنها تركت بعض الأدوات، ومَضَت مدةٌ ولَمْ تَطلُبها، فهل يجوز لصاحبالأرضأن يأخذها لنفسه؟ ,حكم أخذ ما تركه المستأجر بعد انتهاء عقد الإجارة ومغادرة المكان
 ما حكم هديالتمتعإذا خرج المتمع منمكةبعد الانتهاء من مناسك العمرة؟ فقد اعتمرتُ في شهر شوال، ثم تحلَّلتُ وعُدتُ إلى مصر، ثم سافرتُ بعد ذلك وأدَّيتُ فريضة الحج؛ فهل يُعدّ ذلك تمتعًا بالعمرة إلى الحج، ويكون عليَّ هدي التمتع؟ ,حكم هدي التمتع إذا خرج المتمتع من مكة بعد الانتهاء من مناسك العمرة
 ما حكم تأخيرحج الفريضةبعد الاستطاعة لرعاية الأم المريضة؟ فهناك شخصٌ أكرَمَه اللهُ تعالى بالقدرة المالية والبدنية علىأداء فريضة الحج، لكن أمه مريضة ولا يقدر على تركها، حيث يقوم على خدمتها ورعايتها، وليس لها غيره يرعاها ويقوم على شؤونها في هذا الوقت، فهل يجوز له تأخير الحج إلى العام القادم أو إلى تمام شفائها ثم يَحُجُّ؟ ,حكم تأخير حج الفريضة بعد الاستطاعة لرعاية الأم المريضة
 ماضابط الحاجة الأصليةفي الزكاة؟ وهل تتسع مشمولاته لأدواتالكسب؟ ,ضابط الحاجة الأصلية في الزكاة
 ما حكم بيعالعين المستأجرة؟ فهناك رجلٌ اشترى شقة مِن أحد الناس، وكانت هذه الشقةُ مؤجَّرَةً، وقد بقي على انتهاء عقد الإيجار سنةٌ كاملةٌ (إيجار جديد)، وقد أَعْلَمَ البائعُ المشتريَ قبل تمام البيع بالإجارة ومُدتها، فهل يصح بيع العَيْن المؤجرة (الشقة) أثناء سريان عقد الإيجار؟ وإذا جاز، فهل يحق للمشتري أن يُخرجالمستأجِرَمِنها باعتبارها مِلكًا له وأنه لا علاقة له بعقد الإيجار الذي كان بينه وبين المالِك القديم؟ ,حكم بيع العين المستأجرة
 ما حكم حجالحامل و المرضِع؟ فهناك امرأتان: إحداهما حاملٌ، والأخرى مُرضِع، وتسألان: هل يجوز لهما أداء فريضة الحج؟ ,حكم حج الحامل والمرضع
 ما طريقة استخراجالوصية الواجبةمن التركة؟ فقد أرفق لسيادتكم طي هذا الطلب في هذا الشأن صورة ضوئية من الإعلام الشرعي والخاص بتركة الميت وذلك لإفادتنا بشأن كيفية توزيع نصيب أصحابالوصية الواجبةفي حالة وجود زوجة بالإعلام الشرعي من حيث إمكانية استخراج نصيب الزوجة أولًا من إجمالي التركة باعتبارها أحد أصحاب الفروض بالتركة ثم يتم استخراج نصيب أصحاب الوصية الواجبة من إجماليالتركةبعد ذلك، أم يتم استخراج نصيب أصحاب الوصية الواجبة أولًا ثم توزيع ما تبقى كتركة جديدة. هذا حتى يتسنى لنا اتخاذ اللازم بشأن توزيع التركات وذلك في ضوء المادة ٧٦ من قانون الوصية رقم ٧١ لسنة ١٩٤٦م، وقد تضمن الإعلام الشرعي المرفق ما يلي: وفاة/ الميت عام 2023م عن: زوجة، وثلاثة أبناء، وبنتين، وأولاد بنته المتوفاة قبله: خمسة ذكور، وثلاث إناث. ولم يترك المتوفى المذكور أيَّ وارثٍ آخر، ولا فرع يستحق وصية واجبة غير من ذُكِروا. فما نصيب كلِّ وارثٍ ومستحقٍّ؟ ,طريقة حل الوصية الواجبة
 ما كيفية إتمام الطواف لمن شك في عدد مرات الطواف وليس من عادته الشك؟ حيث حجَّ رجلٌ، وأثناءطواف القدومشَكَّ في عدد ما أدَّاه مِن أشواط الطواف، هل طاف ثلاثًا أو أربعًا، ولا يَغلب على ظَنِّهِ أحدُهما، فماذا عليه أن يفعل لتكملة أشواطالطوافسبعًا؟ علمًا بأنه غير دائم الشك. ,كيفية إتمام الطواف لمن شك في عدد مرات الطواف وليس من عادته الشك
 ما حكم بيع مالك الأرض الأسمدة المدعمة للمستأجر بسعر السوق؟ فأنا مالك لأرضٍ زراعية، والجمعياتالزراعية تقوم بإعطائي الكيماوي والسِّمَاد بأسعار مدعمة، وقد أجَّرتُ أرضي لأحد الأشخاص، وأقوم بأخذ حصتي من الكيماوي من الجمعية وأبيعها بسعر السوق للمستأجر، فما حكم ذلك؟ ,حكم بيع مالك الأرض الأسمدة المدعمة للمستأجر بسعر السوق
 أيهما أفضل: القيام بعمرةالتطوع أو الإنفاق علىالفقراء والمحتاجين؟ ,الأفضلية بين عمرة التطوع والإنفاق على الفقراء والمحتاجين
 ما حكم الحج من تركة الميت إذا كان مستطيعًا للحج فلم يحج حتى مات؟ فقد وجَبَ على والديفريضةُ الحج، إلا أنه قد مات قبل أن يَحُجَّ، فهل يَلزم أن يُحَجَّ عنه مِن تَرِكَتِهِ؟ ,حكم الحج من تركة الميت إذا كان مستطيعًا للحج فلم يحج حتى مات
 ما حكم الشراء من ماكيناتالبيعالذاتي؟ حيث تُخصِّص بعض المتاجر ماكينات للبيع الذاتي، وهي ماكينات مشتملةٌ على بعض السلع المعروضة مثل المشروبات الغازية، والعصائر، والأغذية المغلفة، وتُبرمَج على تمييز ثمن كلِّ سلعةٍ وعرضه عند اختيار المشتري لها، وإخراج تلك السلع للمشتري في الدرجِ المُعد لذلك بمجرد دفع الثمن بالطريقة المتاحة بها، سواء بوضع المال نفسه فيها أو خصمه مِن البطاقة البنكيَّة للمشتري، فهل الشراء مِن تلك الماكينات بتلك الصورة الخالية مِن التعامل مع البائع مطلقًا جائزٌ شرعًا؟ ,حكم الشراء من ماكينات البيع الذاتي
 ما المراد بالنصيحةفي حديث النبي صلى الله عليه وآله وسلم: «الدِّينُ النَّصِيحَةُ»؟ ,بيان المراد بالنصيحة في حديث النبي عليه السلام «الدين النصيحة»
 ما واجبات الطواف؟ وما شروط صحته؟ ,بيان واجبات الطواف
 كيف نفرق بينالمحارممن الرجال؟ وهل يجوز الظهور بدون حجاب أمام زوج الأخت كونه منالمحارم؟ ,المحارم من الرجال، ومدى اعتبار زوج الأخت من المحارم
 ما حكم الشك في عدد مراتالطوافلمن عادته الشك؟ فقد حجَّ رجلٌ، وهو دائم الشك، وأثناء طوافه بالبيت الحرام شَكَّ في عدد ما أدَّى مِن أشواطالطوافهل طاف ثلاثًا أو أربعًا، فماذا عليه أن يفعل لتكملة أشواط الطواف سبعًا؟ ,كيفية إتمام الطواف لمن شك في عدد مرات الطواف والشك من عادته
 ما حكمالشراكةبين شخصين أحدهما بالمال والآخر بمنصبه الوظيفي ونفوذه؟ فهناك رجلٌ ذو مال يَتَّجِرُ في مواد البناء، ويريد إبرام اتفاقِ شراكةٍ مع صَاحبٍ لا مال له، غير أن هذا الصاحب ذو مَنْصِبٍ وظيفيٍّ ومكانةٍ ونفوذ، مما يُمكِّنه مِن تسهيل وتيسير الصفقات وإسنادها بيعًا وشراءً، بالآجل أو نقدًا، في حين أن التاجر صاحب المال هو مَن يقوم بالتعاقد مع الجهات (بنفوذ هذا الصاحب ومَنصِبِه الوظيفي) ودفع الأثمان (لأجَلٍ كانت أو حالَّةً)، وما ينشأ بعد ذلك مِن مصاريفٍ ونحوها، وعلى هذا الاتفاق تكون الشراكةُ مِن أحدهما بالمال، ومِن الثاني بالمَنصِب الوظيفي والنفوذ وما يترتب على ذلك مِن تسهيل الصفقات وإسنادها إلى الأول (التاجر)، ثم بعد البيع وخصم المصروفات تقسم الأرباح بين الشريكين بالتساوي، فما الحكم في ذلك شرعًا؟ ,"حكم الشراكة بين شخصين أحدهما بالمال والآخر بمنصبه الوظيفي ونفوذه "" شركة الوجوه """
 ما حكمطوافحامل طفل يلبس حفاظة؟ فأنا سأسافر بعد أيام قليلة -إن شاء الله- لأداء مناسك الحج، ولي طفل رضيع لا أستطيع تركه وحده؛ فهل يجوز لي أن أحمله أثناءالطوافوهو يلبس حفاظة، وربَّما قضى حاجته فيها أثناء طوافي؟ ,حكم طواف حامل طفل يلبس حفاظة
 امرأة لديها جنيهات ذهب كادخار للمستقبل، ولكن قامت بوضعها في أسورة، فهل يجب أن ترتديها؟ وهل يجب عليها زكاة في هذه الحالة؟ ,حكم الزكاة في الحلي من الذهب الذي تمتلكه المرأة
 ما حكمحج الرجل عن أخته المريضة؟ فأختي تبلغ من العمر 61 سنة، والحركة عسيرةٌ عليها، على الرغم مِن قيامها بحاجاتها، وأداؤها للمناسك فيه مشقةٌ كبيرةٌ عليها، فهل لها أن تُنِيبَني فيحَجَّةِ الفريضةعنها؟ ,حكم حج الرجل عن أخته المريضة
 متى تستحبالتَّلبيةفي الحج؟ وما الأماكن التي تُقَال فيها؟ ,التلبية في الحج وأحكامها
 كيف يتم تقسيم ذهب الأم المتوفَّاة؟ وهل يجوز للبنات إعطاء مقابله مالًا لشقيقهم الذكر؟ وما حكم اعتقاد البعض أن الذهب من حق البنات فقط؟ ,مدى استحقاق البنات في ذهب الأم المتوفاة
 ما مدى انقطاع تتابعالطوافبالذهاب للوضوء؟ فرجلٌ ذهب إلى الحج، وأثناءالطوافانتقض وضوؤه، فخرج مِن طوافه وتوضأ، ثم عاد فور الانتهاء مِن الوضوء فأكمل الشوط الذي خرج منه وبَقِيَّةَ الأشواط بعد ذلك، فهل طوافه صحيح شرعًا؟ ,مدى انقطاع تتابع الطواف بالذهاب للوضوء
 ما حكم زواج المرأة البِكر أو الثَّيِّب وليس لها وَلِيٌّ مِن عَصَبَتِهَا؟ وأُرفِق طيُّه ما يُفيد رغبةَ مواطن سوداني يبلغ مِن العُمر (ثمانية وعشرين عامًا وثلاثة أشهر تقريبًا)، في الزواج مِن مواطنة سودانية تبلغ مِن العُمر (سبعة عشر عامًا وثمانية أشهر تقريبًا) حتى تاريخه، وقد أخبرَت أن والدَها متوفًّى، وليس له إخوة أشقاء (أعمام)، كما أنه لا إخوة لها سوى طفل يبلغ مِن العُمر سِتَّ سنوات. ,حكم ولي المرأة في الزواج
 هناك رجلٌ يتعامل في البورصة، ويسأل: ما حكم نَشْرِ بعضِ الأشخاص بعضَ الأخبار الخاطئة التي ليس لها واقعٌ مِن أجْل رفع أسعار الأسهم؟ ,حكم نشر بعض الأخبار التي ليس لها واقع لرفع أسعار الأسهم
 ما حكم الحج عن الغير تبرعًا؟ فأنا كنتُ قد حَجَجتُ عن نفسي مِن قَبْل، وفي هذا العام كان لي صديق مريضٌ، فقمتُ بمشاورته في أن أحُجَّ عنه مع تحملي لنفقة السَّفَر، فهل يشترط أن يشاركني صديقي في النفقة، أو يجوز لي أن أحجَّ عنه دون مساهمةٍ منه في نفقة الحج؟ ,حكم الحج عن الغير تبرعًا
 ما حكم الحج عن مُتَوفًّى والعمرة عن مُتَوفًّى آخر في سفرة واحدة؟ فأنا أريد أن أعرف الحكم الشرعي فيمَن سَافر إلى الحَجِّ، ونوى عمرةً عن أُمِّه الـمُتوفَّاة، وحَجَّة لأبيه الـمُتَوفَّى، والعام الثاني يعكس، أي: يحج لأمِّه الـمُتوفَّاة، ويعتمر لأبيه الـمُتَوفَّى. فهل يجوز ذلك؟ ,حكم الحج عن ميت والعمرة عن ميت آخر في رحلة واحدة
 ما حكم قطع تتابع صيام الكفارة بسبب الفطر للسفر؟ فإن أحد جيراني يعمل سائقًا، وقد وجب عليه كفارةصيام شهرين متتابعين، فصام شهرًا أو أكثر من الكفارة، وبحكم عمله طُلِبَ للسفر في رحلة مدة ثلاثة أيام، وفي اليوم الثاني منها أفطر، ثم أكمل صيامه من اليوم التالي، فهل بفطره في يوم سفره يكون تتابع صيامه قد انقطع؟ ,حكم قطع تتابع صيام الكفارة بسبب الفطر للسفر
